

[13:13] GW6#: hello
[08:32] BJ5@: Test
[09:16] BJ5@: Hello world
[09:17] BJ5@: [img:1790065062494_IMG_2471.jpeg]
[10:07] BJ5@: Test
[10:42] AM0$: yo
[10:42] AM0$: EFN
[10:42] YP4&: hellooo
[10:43] YP4&: hello people
[10:44] YP4&: my G claude
[10:44] YP4&: [img:1790070268609_image.png]
[10:45] AM0$: [img:1790070302754_image.png]
[10:45] AM0$: [img:1790070325164_image.png]
[10:45] AM0$: vvvvv
[10:45] AM0$: [img:1790070330612_image.png]
[10:45] AM0$: [img:1790070332074_image.png]
[10:45] AM0$: [img:1790070333466_image.png]
[10:45] AM0$: [img:1790070334762_image.png]
[10:45] AM0$: [img:1790070336406_image.png]
[10:45] AM0$: [img:1790070337745_image.png]
[10:45] AM0$: [img:1790070339215_image.png]
[10:45] AM0$: [img:1790070340558_image.png]
[10:45] AM0$: [img:1790070341913_image.png]
[10:45] AM0$: [img:1790070343311_image.png]
[10:45] AM0$: [img:1790070344528_image.png]
[10:45] AM0$: [img:1790070345577_image.png]
[10:45] AM0$: [img:1790070346658_image.png]
[10:45] AM0$: [img:1790070347926_image.png]
[10:45] AM0$: [img:1790070349322_image.png]
[10:45] AM0$: [img:1790070350564_image.png]
[10:45] AM0$: [img:1790070351825_image.png]
[10:45] AM0$: [img:1790070353102_image.png]
[10:45] AM0$: [img:1790070354438_image.png]
